fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,UNCERTAINTY,Type,BoundaryNm,BoundConf,BasisOfInt,OvrConf,OvrStrtUnt,OvrStrtCod,UndStrtUnt,UndStrtCod,WithinType,WithinStrt,WithinStNo,WithinConf,InterpRef,Comment,SURVEY_LINE,Operator,point_index,Colour,Marker,MarkerSize
10971.7998046875,galei,578203,7001040,10,88.3,98.8,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1018001,User,64,black,triangle-down,10
10935.400390625,galei,580603,7001048,18,76.3,94.3,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1018001,User,112,black,triangle-down,10
10905.0,galei,582651,7000974,18,76.3,94.7,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1018001,User,153,black,triangle-down,10
10889.599609375,galei,583701,7000974,13,94.3,107.2,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1018001,User,174,black,triangle-down,10
10865.0,galei,585300,7001005,29,106.3,135.0,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1018001,User,206,black,triangle-down,10
10865.0,galei,585300,7001005,71,64.3,135.0,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1018001,User,206,darkgrey,triangle-up-dot,10
10889.599609375,galei,583701,7000974,55,52.3,107.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1018001,User,174,darkgrey,triangle-up-dot,10
11002.7998046875,galei,576204,7001053,42,64.3,106.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1018001,User,24,darkgrey,triangle-up-dot,10
10971.7998046875,galei,578203,7001040,46,52.3,98.8,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1018001,User,64,darkgrey,triangle-up-dot,10
10935.400390625,galei,580603,7001048,42,52.3,94.3,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1018001,User,112,darkgrey,triangle-up-dot,10
10905.0,galei,582651,7000974,48,46.3,94.7,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1018001,User,153,darkgrey,triangle-up-dot,10
10889.599609375,galei,583701,7000974,97,10.3,107.2,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1018001,User,174,black,triangle-down-dot,10
10905.0,galei,582651,7000974,84,10.3,94.7,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1018001,User,153,black,triangle-down-dot,10
10971.7998046875,galei,578203,7001040,70,28.3,98.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1018001,User,64,black,triangle-down-dot,10
10865.0,galei,585300,7001005,113,22.3,135.0,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1018001,User,206,black,triangle-down-dot,10
10815.599609375,galei,588349,7001018,119,-25.7,93.6,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1018001,User,267,black,triangle-down-dot,10
10834.2001953125,galei,587200,7001026,111,-7.7,103.2,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1018001,User,244,black,triangle-down-dot,10
10760.0,galei,591898,7000968,79,-1.7,77.1,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1018001,User,338,black,triangle-down-dot,10
10783.400390625,galei,590399,7000994,49,28.3,77.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1018001,User,308,darkgrey,triangle-up-dot,10
10783.400390625,galei,590399,7000994,13,64.3,77.2,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1018001,User,308,black,triangle-down,10
10783.400390625,galei,590399,7000994,73,4.3,77.2,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1018001,User,308,black,triangle-down-dot,10
7027.39990234375,galei,392450,6041720,16,12.0,27.8,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,299,black,triangle-down,10
7074.0,galei,389552,6041766,33,18.0,51.1,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,241,black,triangle-down,10
7055.60009765625,galei,390650,6041717,23,12.0,34.6,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,263,black,triangle-down,10
7055.60009765625,galei,390650,6041717,53,-18.0,34.6,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,263,darkgrey,triangle-up-dot,10
7074.0,galei,389552,6041766,69,-18.0,51.1,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,241,darkgrey,triangle-up-dot,10
7263.2001953125,galei,377561,6041740,14,0.0,13.8,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,1,black,triangle-down,10
7204.39990234375,galei,381409,6041723,18,42.0,60.3,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,78,black,triangle-down,10
7186.7998046875,galei,382509,6041730,3,84.0,87.5,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,100,black,triangle-down,10
7186.7998046875,galei,382509,6041730,51,36.0,87.5,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,100,darkgrey,triangle-up-dot,10
7204.39990234375,galei,381409,6041723,54,6.0,60.3,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,78,darkgrey,triangle-up-dot,10
7247.2001953125,galei,378610,6041705,58,-42.0,16.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,22,darkgrey,triangle-up-dot,10
7241.60009765625,galei,378960,6041702,47,-30.0,16.7,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,29,darkgrey,triangle-up-dot,10
7233.2001953125,galei,379510,6041716,61,-42.0,19.3,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,40,darkgrey,triangle-up-dot,10
7227.2001953125,galei,379909,6041732,59,-42.0,17.1,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,48,darkgrey,triangle-up-dot,10
7221.39990234375,galei,380309,6041740,53,-30.0,22.8,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,56,darkgrey,triangle-up-dot,10
7215.39990234375,galei,380709,6041739,71,-24.0,47.4,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,64,darkgrey,triangle-up-dot,10
7255.60009765625,galei,378061,6041729,52,-36.0,15.6,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1066001,User,11,darkgrey,triangle-up-dot,10
7255.60009765625,galei,378061,6041729,10,6.0,15.6,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,11,black,triangle-down,10
7247.2001953125,galei,378610,6041705,16,0.0,16.2,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,22,black,triangle-down,10
7241.60009765625,galei,378960,6041702,11,6.0,16.7,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,29,black,triangle-down,10
7233.2001953125,galei,379510,6041716,13,6.0,19.3,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,40,black,triangle-down,10
7227.2001953125,galei,379909,6041732,17,0.0,17.1,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,48,black,triangle-down,10
7221.39990234375,galei,380309,6041740,17,6.0,22.8,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1066001,User,56,black,triangle-down,10
