fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,Type,BoundaryNm,SURVEY_LINE,Operator,point_index,polyline,colour,Marker,MarkerSize
6948.399902,galei,644517,6843751,29,387.3,415.9,TOP_Cotchin,Top_Cotchin_clay,1030002,User,291,1,#FE020E,triangle-down,12
6935.799805,galei,645365,6843709,16,393.3,409.7,TOP_Cotchin,Top_Cotchin_clay,1030002,User,308,1,#FE020E,triangle-down,12
6921,galei,646363,6843650,16,393.3,409,TOP_Cotchin,Top_Cotchin_clay,1030002,User,328,1,#FE020E,triangle-down,12
6906.200195,galei,647362,6843598,30,381.3,411,TOP_Cotchin,Top_Cotchin_clay,1030002,User,348,1,#FE020E,triangle-down,12
6887,galei,648660,6843531,7,393.3,400.5,TOP_Cotchin,Top_Cotchin_clay,1030002,User,374,1,#FE020E,triangle-down,12
6840.600098,galei,651705,6843374,16,387.3,403.2,TOP_Cotchin,Top_Cotchin_clay,1030002,User,435,1,#FE020E,triangle-down,12
6811.399902,galei,653701,6843249,18,387.3,405.7,TOP_Cotchin,Top_Cotchin_clay,1030002,User,475,1,#FE020E,triangle-down,12
6797.399902,galei,654650,6843207,11,393.3,403.9,TOP_Cotchin,Top_Cotchin_clay,1030002,User,494,1,#FE020E,triangle-down,12
7263.200195,galei,377561,6041740,14,0,13.8,TOP_Cotchin,Top_Cotchin_clay,1066001,User,1,1,#FE020E,triangle-down,12
7255.600098,galei,378061,6041729,10,6,15.6,TOP_Cotchin,Top_Cotchin_clay,1066001,User,11,1,#FE020E,triangle-down,12
7247.200195,galei,378610,6041705,16,0,16.2,TOP_Cotchin,Top_Cotchin_clay,1066001,User,22,1,#FE020E,triangle-down,12
7241.600098,galei,378960,6041702,11,6,16.7,TOP_Cotchin,Top_Cotchin_clay,1066001,User,29,1,#FE020E,triangle-down,12
7233.200195,galei,379510,6041716,13,6,19.3,TOP_Cotchin,Top_Cotchin_clay,1066001,User,40,1,#FE020E,triangle-down,12
7227.200195,galei,379909,6041732,17,0,17.1,TOP_Cotchin,Top_Cotchin_clay,1066001,User,48,1,#FE020E,triangle-down,12
7221.399902,galei,380309,6041740,17,6,22.8,TOP_Cotchin,Top_Cotchin_clay,1066001,User,56,1,#FE020E,triangle-down,12
7215.399902,galei,380709,6041739,35,12,47.4,TOP_Cotchin,Top_Cotchin_clay,1066001,User,64,1,#FE020E,triangle-down,12
7204.399902,galei,381409,6041723,18,42,60.3,TOP_Cotchin,Top_Cotchin_clay,1066001,User,78,1,#FE020E,triangle-down,12
7186.799805,galei,382509,6041730,3,84,87.5,TOP_Cotchin,Top_Cotchin_clay,1066001,User,100,1,#FE020E,triangle-down,12
7113.600098,galei,387055,6041692,28,60,87.9,TOP_Cotchin,Top_Cotchin_clay,1066001,User,191,1,#FE020E,triangle-down,12
7098.200195,galei,388005,6041684,27,24,51,TOP_Cotchin,Top_Cotchin_clay,1066001,User,210,1,#FE020E,triangle-down,12
7086.799805,galei,388754,6041722,19,12,30.7,TOP_Cotchin,Top_Cotchin_clay,1066001,User,225,1,#FE020E,triangle-down,12
7074,galei,389552,6041766,33,18,51.1,TOP_Cotchin,Top_Cotchin_clay,1066001,User,241,1,#FE020E,triangle-down,12
7055.600098,galei,390650,6041717,23,12,34.6,TOP_Cotchin,Top_Cotchin_clay,1066001,User,263,1,#FE020E,triangle-down,12
7027.399902,galei,392450,6041720,16,12,27.8,TOP_Cotchin,Top_Cotchin_clay,1066001,User,299,1,#FE020E,triangle-down,12
5586.399902,galei,337907,6963755,25,436.7,461.9,TOP_Cotchin,Top_Cotchin_clay,2036001,User,158,1,#FE020E,triangle-down,12
5580.399902,galei,338306,6963764,25,436.7,462.1,TOP_Cotchin,Top_Cotchin_clay,2036001,User,166,1,#FE020E,triangle-down,12
5573,galei,338806,6963769,26,436.7,462.3,TOP_Cotchin,Top_Cotchin_clay,2036001,User,176,1,#FE020E,triangle-down,12
5563.399902,galei,339456,6963783,21,442.7,463.4,TOP_Cotchin,Top_Cotchin_clay,2036001,User,189,1,#FE020E,triangle-down,12
5552.600098,galei,340206,6963782,29,436.7,465.4,TOP_Cotchin,Top_Cotchin_clay,2036001,User,204,1,#FE020E,triangle-down,12
5547.399902,galei,340556,6963786,30,436.7,466.4,TOP_Cotchin,Top_Cotchin_clay,2036001,User,211,1,#FE020E,triangle-down,12
5543.200195,galei,340856,6963796,19,448.7,467.4,TOP_Cotchin,Top_Cotchin_clay,2036001,User,217,1,#FE020E,triangle-down,12
5540.399902,galei,341056,6963801,13,454.7,468.1,TOP_Cotchin,Top_Cotchin_clay,2036001,User,221,1,#FE020E,triangle-down,12
3705,galei,889546,7111798,13,486.8,499.5,TOP_Cotchin,Top_Cotchin_clay,3044002,User,191,1,#FE020E,triangle-down,12
3699,galei,889946,7111793,17,480.8,498.1,TOP_Cotchin,Top_Cotchin_clay,3044002,User,199,1,#FE020E,triangle-down,12
3690.399902,galei,890496,7111792,16,474.8,490.7,TOP_Cotchin,Top_Cotchin_clay,3044002,User,210,1,#FE020E,triangle-down,12
3687.399902,galei,890696,7111788,17,474.8,491.4,TOP_Cotchin,Top_Cotchin_clay,3044002,User,214,1,#FE020E,triangle-down,12
3681.199951,galei,891096,7111779,16,474.8,491.2,TOP_Cotchin,Top_Cotchin_clay,3044002,User,222,1,#FE020E,triangle-down,12
3671.600098,galei,891696,7111758,19,474.8,494,TOP_Cotchin,Top_Cotchin_clay,3044002,User,234,1,#FE020E,triangle-down,12
3665.199951,galei,892095,7111746,23,468.8,491.7,TOP_Cotchin,Top_Cotchin_clay,3044002,User,242,1,#FE020E,triangle-down,12
