fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,UNCERTAINTY,Type,BoundaryNm,BoundConf,BasisOfInt,OvrConf,OvrStrtUnt,OvrStrtCod,UndStrtUnt,UndStrtCod,WithinType,WithinStrt,WithinStNo,WithinConf,InterpRef,Comment,SURVEY_LINE,Operator,point_index,Colour,Marker,MarkerSize
6887,galei,648660,6843531,7,393.3,400.5,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1030002,User,374,black,triangle-down,10
7107.399902,galei,633935,6844329,24,387.3,411.8,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1030002,User,79,black,triangle-down,10
7145.600098,galei,631389,6844467,60,351.3,411,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,28,darkgrey,triangle-up-dot,10
7120.200195,galei,633086,6844373,69,345.3,414.8,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,62,darkgrey,triangle-up-dot,10
7097.799805,galei,634584,6844297,74,339.3,413.7,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,92,darkgrey,triangle-up-dot,10
7080.799805,galei,635732,6844234,82,333.3,415.1,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,115,darkgrey,triangle-up-dot,10
7035,galei,638676,6844069,79,333.3,412.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,174,darkgrey,triangle-up-dot,10
7018.399902,galei,639774,6844008,66,345.3,411.6,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,196,darkgrey,triangle-up-dot,10
6998.200195,galei,641122,6843938,66,345.3,411.8,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,223,darkgrey,triangle-up-dot,10
6971.200195,galei,642969,6843837,59,351.3,410,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,260,darkgrey,triangle-up-dot,10
6947.600098,galei,644567,6843748,70,345.3,415.1,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,292,darkgrey,triangle-up-dot,10
6905.600098,galei,647412,6843595,72,339.3,410.8,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,349,darkgrey,triangle-up-dot,10
6870.399902,galei,649758,6843470,51,357.3,408.1,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,396,darkgrey,triangle-up-dot,10
6833.799805,galei,652154,6843345,58,345.3,403.3,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,444,darkgrey,triangle-up-dot,10
6798.200195,galei,654600,6843210,47,357.3,404.7,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,1030002,User,493,darkgrey,triangle-up-dot,10
7145.600098,galei,631389,6844467,138,273.3,411,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,28,black,triangle-down-dot,10
7119.399902,galei,633136,6844370,147,267.3,414.4,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,63,black,triangle-down-dot,10
7097.799805,galei,634584,6844297,134,279.3,413.7,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,92,black,triangle-down-dot,10
7080.799805,galei,635732,6844234,160,255.3,415.1,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,115,black,triangle-down-dot,10
7035,galei,638676,6844069,139,273.3,412.2,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,174,black,triangle-down-dot,10
7019.200195,galei,639724,6844010,145,267.3,411.9,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,195,black,triangle-down-dot,10
6998.200195,galei,641122,6843938,144,267.3,411.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,223,black,triangle-down-dot,10
6971.200195,galei,642969,6843837,143,267.3,410,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,260,black,triangle-down-dot,10
6947.600098,galei,644567,6843748,142,273.3,415.1,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,292,black,triangle-down-dot,10
6905.600098,galei,647412,6843595,132,279.3,410.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,349,black,triangle-down-dot,10
6869.600098,galei,649808,6843466,116,291.3,407.5,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,397,black,triangle-down-dot,10
6833,galei,652204,6843342,111,291.3,402.8,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,1030002,User,445,black,triangle-down-dot,10
6948.399902,galei,644517,6843751,29,387.3,415.9,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1030002,User,291,black,triangle-down,10
6971.200195,galei,642969,6843837,17,393.3,410,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1030002,User,260,black,triangle-down,10
7080,galei,635782,6844230,28,387.3,415.4,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1030002,User,116,black,triangle-down,10
7120.200195,galei,633086,6844373,27,387.3,414.8,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1030002,User,62,black,triangle-down,10
6906.200195,galei,647362,6843598,30,381.3,411,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1030002,User,348,black,triangle-down,10
6811.399902,galei,653701,6843249,18,387.3,405.7,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1030002,User,475,black,triangle-down,10
7058,galei,637178,6844145,26,387.3,413.5,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1030002,User,144,black,triangle-down,10
6921,galei,646363,6843650,16,393.3,409,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,1030002,User,328,black,triangle-down,10
