,OBJECTID,ENO,WELL,Latitude,Longitude,GA_GUID,UWI,GA_UNIT,TOP_MD_M,BASE_MD_M,DATUM_ELEVATION,TD_MD_M,DATA_SOURCE,SRTM_HE,HIERARCHY,POINT_X,POINT_Y,Diff_X,Diff_Y,GDA94_Latitude,GDA94_Longitude,GA_PREFERRED_TD_M,GA_ELEVATION,TAG,GA_STRATNO,TOP_AHD_M,BASE_AHD_M,geometry
2502,2503,,RN158151,-21.68007975,146.125424,{0bc834bc-121f-4ae9-b9d4-e5b366fdbe0f},RN158151,CENOZOIC,0.0,32.0,408.7,119.0,DNRM_QLD_GROUNDWATER_DB2017,410.4960632,12,146.125424,-21.68007975,-2e-10,-4e-10,,,,,,,408.7,376.7,POINT (409521.8774231352 7602327.926269875)
2503,2504,,RN158151,-21.68007975,146.125424,{fbf5223d-2afa-491e-9503-875647a6c9b0},RN158151,Clematis Group,32.0,101.0,408.7,119.0,DNRM_QLD_GROUNDWATER_DB2017,410.4960632,12,146.125424,-21.68007975,-2e-10,-4e-10,,,,,,4137.0,376.7,307.7,POINT (409521.8774231352 7602327.926269875)
2504,2505,,RN158151,-21.68007975,146.125424,{c5b34a6a-3330-4626-a2d1-1eb118dd8d18},RN158151,Rewan Formation,101.0,119.0,408.7,119.0,DNRM_QLD_GROUNDWATER_DB2017,410.4960632,12,146.125424,-21.68007975,-2e-10,-4e-10,,,,,,16052.0,307.7,289.7,POINT (409521.8774231352 7602327.926269875)
2508,2509,,RN158205,-21.71763761,146.194267,{b5ce119d-542c-45fd-be38-8c040077944b},RN158205,CENOZOIC,0.0,76.0,338.34060669999997,200.0,DNRM_QLD_GROUNDWATER_DB2017,338.34060669999997,12,146.194267,-21.71763761,-5e-10,-2e-10,,,,,,,338.34060669999997,262.34060669999997,POINT (416665.9155302276 7598209.233860453)
2509,2510,,RN158205,-21.71763761,146.194267,{97841173-9212-4fc8-ba22-e62b9fc3739a},RN158205,PERMIAN,76.0,200.0,338.34060669999997,200.0,DNRM_QLD_GROUNDWATER_DB2017,338.34060669999997,12,146.194267,-21.71763761,-5e-10,-2e-10,,,,,,,262.34060669999997,138.34060669999997,POINT (416665.9155302276 7598209.233860453)
2527,2528,,RN158311,-21.79274298,146.23505730000002,{69631e3f-6eba-4db0-8df0-3782a91e31ac},RN158311,CENOZOIC,0.0,25.0,297.34,25.0,DNRM_QLD_GROUNDWATER_DB2017,302.04006960000004,12,146.23505730000002,-21.79274298,2e-10,3e-10,,,,,,,297.34,272.34,POINT (420926.0387552991 7589917.227946166)
2528,2529,,RN158312,-21.83575197,146.1979813,{e1a98448-769b-44c2-8a24-00e9b329512b},RN158312,CENOZOIC,0.0,77.0,329.04,77.0,DNRM_QLD_GROUNDWATER_DB2017,333.21783450000004,12,146.1979813,-21.83575197,2e-10,9.95e-14,,,,,,,329.04,252.04,POINT (417117.9903448393 7585137.044299014)
2529,2530,,RN158313,-22.78800288,146.4833675,{a0babbe4-79dc-4150-9aed-f2a42f04ece1},RN158313,CENOZOIC,0.0,101.0,272.5103455,280.0,DNRM_QLD_GROUNDWATER_DB2017,272.5103455,12,146.4833675,-22.78800288,0.0,4e-10,,,,,,,272.5103455,171.5103455,POINT (446971.8852755361 7479855.342222258)
2530,2531,,RN158313,-22.78800288,146.4833675,{e6b03497-6cf9-4edf-b058-b46d71f3ea16},RN158313,Bandanna Formation,101.0,162.0,272.5103455,280.0,DNRM_QLD_GROUNDWATER_DB2017,272.5103455,12,146.4833675,-22.78800288,0.0,4e-10,,,,,,1032.0,171.5103455,110.51034550000001,POINT (446971.8852755361 7479855.342222258)
2531,2532,,RN158313,-22.78800288,146.4833675,{5958c1ec-6a22-45bb-beec-bdcbb3158126},RN158313,PERMIAN,162.0,280.0,272.5103455,280.0,DNRM_QLD_GROUNDWATER_DB2017,272.5103455,12,146.4833675,-22.78800288,0.0,4e-10,,,,,,,110.51034550000001,-7.489654541,POINT (446971.8852755361 7479855.342222258)
